driverId,driver_name,nationality,total_races,avg_finish_position,avg_grid_position,avg_points_per_race,win_rate,podium_rate,dnf_rate,avg_fastest_lap_speed,avg_best_quali_time
21,Giancarlo Fisichella,Italian,174,11.166666666666666,11.804597701149426,1.2988505747126438,0.017241379310344827,0.08045977011494253,0.6264367816091954,205.037213592233,85.6631507936508
22,Rubens Barrichello,Brazilian,212,8.985849056603774,8.231132075471699,2.740566037735849,0.05188679245283019,0.29245283018867924,0.42924528301886794,204.91833566433567,86.62922289156627
23,Ralf Schumacher,German,131,9.488549618320612,7.374045801526718,2.0381679389312977,0.04580152671755725,0.16030534351145037,0.4961832061068702,207.75470967741936,84.17624705882352
24,Vitantonio Liuzzi,Italian,81,15.91358024691358,16.555555555555557,0.32098765432098764,0.0,0.0,0.7901234567901234,198.7474722222222,89.65846835443038
25,Alexander Wurz,Austrian,34,12.088235294117647,13.970588235294118,0.6176470588235294,0.0,0.058823529411764705,0.7352941176470589,202.12375,87.00766666666667
27,Christijan Albers,Dutch,46,15.673913043478262,18.282608695652176,0.08695652173913043,0.0,0.0,1.0,202.32118604651163,86.95377777777777
30,Michael Schumacher,German,180,6.838888888888889,5.916666666666667,5.533333333333333,0.3111111111111111,0.4666666666666667,0.25,205.43316964285714,86.55143181818183
31,Juan Pablo Montoya,Colombian,95,8.526315789473685,5.368421052631579,3.231578947368421,0.07368421052631578,0.3157894736842105,0.4421052631578947,211.37692857142858,82.83520967741936
32,Christian Klien,Austrian,51,13.666666666666666,13.156862745098039,0.27450980392156865,0.0,0.0,0.803921568627451,209.23754545454543,85.60182
33,Tiago Monteiro,Portuguese,37,14.432432432432432,17.675675675675677,0.1891891891891892,0.0,0.02702702702702703,0.972972972972973,203.7823888888889,86.58839393939394
35,Jacques Villeneuve,Canadian,100,11.33,11.38,0.55,0.0,0.02,0.74,208.0930909090909,84.14398181818181
37,Pedro de la Rosa,Spanish,91,15.538461538461538,15.43956043956044,0.37362637362637363,0.0,0.01098901098901099,0.8461538461538461,199.75309756097562,91.37198039215686
39,Narain Karthikeyan,Indian,48,18.458333333333332,19.5625,0.10416666666666667,0.0,0.0,1.0,195.5360217391304,92.40063636363637
44,Olivier Panis,French,67,12.985074626865671,11.328358208955224,0.29850746268656714,0.0,0.0,0.8656716417910447,209.0038125,83.78705714285714
49,Heinz-Harald Frentzen,German,61,12.901639344262295,10.754098360655737,0.5245901639344263,0.0,0.04918032786885246,0.8032786885245902,,84.03895454545454
50,Jos Verstappen,Dutch,50,13.58,16.76,0.12,0.0,0.0,0.94,,85.3048888888889
55,Jean Alesi,French,34,12.852941176470589,15.294117647058824,0.14705882352941177,0.0,0.0,0.9117647058823529,,87.67920000000001
56,Eddie Irvine,British,50,12.72,12.7,0.36,0.0,0.04,0.8,,89.62642857142858
57,Mika Häkkinen,Finnish,34,7.735294117647059,3.5294117647058822,3.7058823529411766,0.17647058823529413,0.4117647058823529,0.35294117647058826,,85.8308
